,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,41.287551465763364,53.44636077499214,25.258541,32.601746,30.580191761363636,40.46312791901353
DEH1,33.74561469067656,41.092283542663964,25.562023,32.706612,44.40961508075843,52.16562999507119
IAH4,33.140212104848466,40.91317597385517,26.157793,33.482002,67.03020362097938,73.49564230833418
IAH1,40.96115936951189,48.267865092339086,26.647387,34.432812,44.016927753523284,51.158430702073495
TXH2,33.49856341231473,40.497574888402475,25.667625,32.956841,48.724454014504595,58.199713119169296
ILH1,30.3229036316245,37.271186597962384,26.051018,33.563541,109.90103035475941,114.00546403273353
WIH2,37.299555576806874,43.98029177085791,26.018303,33.23233,47.69161948438591,54.38261735668467
ARH1,61.46484041935333,71.82908696306313,26.192755,33.517052,54.22622554335483,64.7621902869779
ARH2,24.04267178462282,29.148774301237587,26.078726,33.521381,25.538982783241877,32.45166248976969
NEH4,109.11174144026802,109.64018686096098,25.749588,33.299011,92.08501107051457,92.7105588303475
COH1,53.93030870812648,59.36086320234907,27.047121,34.538467,76.72955274277295,81.01830419094442
INH1,43.56038606231726,49.67350741468399,26.044195,33.03791,52.47845750473485,58.54363012678106
MNH1,27.841574528251414,38.06091610828887,25.85379,33.147274,31.920193889876057,42.56557587477512
MOH1,26.295790271329622,33.96915076008775,26.17284,33.262215,25.949370882058446,33.66091901527136
IAH2,24.672229796080448,30.874363585179957,26.582165,33.995098,28.557662610119884,35.633815076517386
NYH2,30.24504350193912,36.878332208371,26.118877,33.339046,25.186516545956348,32.11049819999765
WIH1,46.95011593963506,54.7694678189198,25.088676,32.312847,31.930743862906763,39.78488230252496
MIH1,29.819726457047338,36.93234827583375,25.264612,32.567532,30.570213806845924,39.391927916511754
GAH2,32.152815621464946,42.44806614668441,25.716616,33.088776,27.1984325044474,37.44652697710299
NCH1,24.344490780174652,30.76054451318564,26.503098,33.80788,23.38932527592497,29.634233733107198
GAH1,42.87625593240793,55.59729859948619,26.048008,33.031803,37.06114951620296,48.080433249075924
