,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,41.287551465763364,53.44636077499214,34.420135,44.135998,45.32367081679307,56.5199947697132
DEH1,33.74561469067656,41.092283542663964,35.930161,44.875767,28.77364682143994,35.93459229979553
IAH4,33.140212104848466,40.91317597385517,35.790241,44.712894,30.247438392066382,37.121779227704174
IAH1,40.96115936951189,48.267865092339086,34.591396,43.864273,40.724120526482075,47.824006720300694
TXH2,33.49856341231473,40.497574888402475,35.834606,45.184147,30.606152310630147,37.67006417063576
ILH1,30.3229036316245,37.271186597962384,34.973312,44.297688,30.687027729548152,38.66617171614331
WIH2,37.299555576806874,43.98029177085791,36.236614,45.390209,34.33163705264347,40.399974032456235
ARH1,61.46484041935333,71.82908696306313,34.008835,43.095966,63.63058696125829,74.40906105435276
ARH2,24.04267178462282,29.148774301237587,35.591949,45.231743,28.19872103639633,34.031115023841615
NEH4,109.11174144026802,109.64018686096098,34.112885,42.830452,114.54752410625589,115.74249117220404
COH1,53.93030870812648,59.36086320234907,32.597099,42.858196,59.41355286431839,64.61487888618852
INH1,43.56038606231726,49.67350741468399,35.508034,44.855968,38.76043405336322,44.86894600301337
MNH1,27.841574528251414,38.06091610828887,35.790516,44.799145,25.99784964425223,37.176204534906994
MOH1,26.295790271329622,33.96915076008775,36.348419,45.449497,24.92759127975013,32.549714053467675
IAH2,24.672229796080448,30.874363585179957,36.742439,46.007591,22.53204363573779,28.280449275751543
NYH2,30.24504350193912,36.878332208371,36.359013,45.573242,30.739397282767488,37.33127118498797
WIH1,46.95011593963506,54.7694678189198,34.689644,43.594967,44.28277891518696,52.108543546414715
MIH1,29.819726457047338,36.93234827583375,35.764179,44.912128,25.70874025518244,32.47420610428661
GAH2,32.152815621464946,42.44806614668441,35.1474,44.013069,29.015890751735423,38.30469002313106
NCH1,24.344490780174652,30.76054451318564,35.272552,44.667286,23.03009310049381,28.352620516269738
GAH1,42.87625593240793,55.59729859948619,34.857143,43.886444,40.25771289809869,51.48478843224758
