,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,37.836436719295975,44.18142741690912,10.58836,14.33316,30.661941875110973,34.04722647903702
DEH1,23.756227307102378,29.565682468988506,10.754395,14.348841,25.497708395625768,29.631426475531335
IAH4,20.622532744335867,25.63827978280397,10.93033,14.499836,48.628725343996344,50.335914151698155
IAH1,19.103535169122402,23.18255536564126,11.199013,14.718853,25.95251042983111,28.216141974857983
TXH2,15.95868053641825,20.204522068176676,11.217882,14.838284,58.24356605470643,61.48376183877379
ILH1,19.673115827131635,23.073539540122958,10.667431,14.67508,23.70043368189246,26.384356546417756
WIH2,44.57743803480545,49.61408349585165,11.043114,14.609636,61.88452475968577,63.204311391457686
ARH1,20.46236035075784,25.831850827181167,10.745717,14.348616,27.304281518625658,31.767047207299882
ARH2,42.80925273191357,45.53709953376846,10.547073,14.156645,27.32922847687252,30.519459182161096
NEH4,79.39375979984025,82.29247967155695,10.358896,14.101412,67.09653959603145,69.63177477169849
COH1,16.860533150762347,22.129379274879344,10.271844,14.118066,13.79820830698974,18.2258948773152
INH1,28.146906421038565,32.351973387665694,10.740634,14.870477,10.432214262991241,12.851695795108704
MNH1,20.354834362442414,26.046667840563135,10.443669,14.10847,17.8303385569637,26.281271542489076
MOH1,32.65411066524522,38.12326317756782,11.17837,15.348787,126.09046720351851,126.72559247532945
IAH2,17.166677914607995,21.04529521509685,10.326951,14.066725,12.409817830220357,15.804941190988494
NYH2,42.80933400946123,46.51299571372542,10.447864,13.91762,38.07438848860502,40.785093250386154
WIH1,32.41720193621522,37.17473166205968,10.304233,13.975451,18.322891793259753,21.62996270393521
MIH1,120.553680452767,120.73319512271884,10.799173,14.318492,122.67553229765458,123.11478673108726
GAH2,17.611853426293383,21.32931366580911,10.662424,14.379359,14.380619413533788,17.987737041293755
NCH1,18.640709914493677,23.668971307561222,10.462987,14.223855,56.46718862281655,58.73443649100568
GAH1,36.30290843012176,40.83118531116047,10.552431,14.181492,16.502293738540338,20.429818131020422
