,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,37.836436719295975,44.18142741690912,26.397577,36.270988,36.00772451425527,42.4256192305532
DEH1,23.756227307102378,29.565682468988506,27.561134,37.329124,21.32928522517172,25.46168380054171
IAH4,20.622532744335867,25.63827978280397,27.963619,37.479271,14.419302473555097,18.225297382973906
IAH1,19.103535169122402,23.18255536564126,27.803659,37.791504,16.4654354020661,19.63008909877373
TXH2,15.95868053641825,20.204522068176676,27.07415,36.917435,17.934555881707244,22.66701580180693
ILH1,19.673115827131635,23.073539540122958,26.972067,36.919098,16.395281335344286,19.321979016327596
WIH2,44.57743803480545,49.61408349585165,26.519915,36.461731,41.842344033860265,44.147541168210296
ARH1,20.46236035075784,25.831850827181167,26.456957,36.060211,17.81712760038154,23.66481063590698
ARH2,42.80925273191357,45.53709953376846,25.78187,35.679806,37.376539248511904,41.01878246667179
NEH4,79.39375979984025,82.29247967155695,24.877773,34.573078,79.69516714688005,81.91513347708785
COH1,16.860533150762347,22.129379274879344,27.490187,37.093113,14.037176614897257,18.52075349322589
INH1,28.146906421038565,32.351973387665694,26.001465,35.458206,30.95904971036044,33.23373064948113
MNH1,20.354834362442414,26.046667840563135,26.017866,35.593475,19.024129575954046,26.428972496005173
MOH1,32.65411066524522,38.12326317756782,26.714893,36.196426,22.89172434102634,26.03811840860573
IAH2,17.166677914607995,21.04529521509685,28.001299,37.564224,11.634873742455834,14.806429538250207
NYH2,42.80933400946123,46.51299571372542,25.931505,35.498737,51.923986635439476,54.840462937138376
WIH1,32.41720193621522,37.17473166205968,26.770498,36.737728,32.447984154961006,35.03509245588891
MIH1,120.553680452767,120.73319512271884,22.052387,28.031605,119.27221757715398,119.75052404633648
GAH2,17.611853426293383,21.32931366580911,26.478626,36.574638,15.091035684962181,18.90699739795655
NCH1,18.640709914493677,23.668971307561222,26.685347,36.532623,13.337799014685288,16.898362049817727
GAH1,36.30290843012176,40.83118531116047,26.386892,36.402267,38.341001736387916,42.39431393241912
