,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,41.287551465763364,53.44636077499214,25.258545,32.601742,30.580191761363636,40.46312791901353
DEH1,33.74561469067656,41.092283542663964,25.562023,32.706612,44.40961508075843,52.16562999507119
IAH4,33.140212104848466,40.91317597385517,26.157795,33.482002,67.03020362097938,73.49564230833418
IAH1,40.96115936951189,48.267865092339086,26.6572,34.435074,34.74396481502758,42.25988722919029
TXH2,33.49856341231473,40.497574888402475,25.667627,32.956841,48.724454014504595,58.199713119169296
ILH1,30.3229036316245,37.271186597962384,26.051018,33.563541,109.90103035475941,114.00546403273353
WIH2,37.299555576806874,43.98029177085791,26.018305,33.23233,47.69161948438591,54.38261735668467
ARH1,61.46484041935333,71.82908696306313,26.192755,33.517052,54.22622554335483,64.7621902869779
ARH2,24.04267178462282,29.148774301237587,26.048595,33.490181,22.82420884292845,28.361894821893642
NEH4,109.11174144026802,109.64018686096098,25.749586,33.299015,92.08501107051457,92.7105588303475
COH1,53.93030870812648,59.36086320234907,27.046946,34.531616,82.10274468349297,86.1470331171674
INH1,43.56038606231726,49.67350741468399,26.044195,33.03791,52.47845750473485,58.54363012678106
MNH1,27.841574528251414,38.06091610828887,25.883047,33.219067,31.002407989884382,41.61469009225853
MOH1,26.295790271329622,33.96915076008775,26.172844,33.262218,25.949370882058446,33.66091901527136
IAH2,24.672229796080448,30.874363585179957,26.589645,33.998348,27.83128027197119,34.79610201310111
NYH2,30.24504350193912,36.878332208371,26.118876,33.33905,25.186516545956348,32.11049819999765
WIH1,46.95011593963506,54.7694678189198,25.088676,32.312847,31.930743862906763,39.78488230252496
MIH1,29.819726457047338,36.93234827583375,25.258842,32.503391,29.132786723050206,36.92527761026323
GAH2,32.152815621464946,42.44806614668441,25.716616,33.088776,27.1984325044474,37.44652697710299
NCH1,24.344490780174652,30.76054451318564,26.503099,33.80788,23.38932527592497,29.634233733107198
GAH1,42.87625593240793,55.59729859948619,26.046139,33.031158,38.40366206702407,50.130094460757675
