,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,41.287551465763364,53.44636077499214,21.679321,28.575148,32.594880220487525,42.133298284590985
DEH1,33.74561469067656,41.092283542663964,23.170879,29.502907,35.25614889423499,42.6841891714426
IAH4,33.140212104848466,40.91317597385517,23.119467,29.992834,71.49545086376659,76.19791259847055
IAH1,40.96115936951189,48.267865092339086,23.050022,30.314529,19.343379636278343,24.51591595316395
TXH2,33.49856341231473,40.497574888402475,22.844938,29.557692,65.70996176521908,72.88159560086444
ILH1,30.3229036316245,37.271186597962384,22.404173,29.516699,33.92762671003369,41.78746022287424
WIH2,37.299555576806874,43.98029177085791,22.987459,29.843544,20.09028197849127,26.132890899444075
ARH1,61.46484041935333,71.82908696306313,22.004353,28.791729,78.51014939596487,88.63574815112557
ARH2,24.04267178462282,29.148774301237587,22.638927,29.574783,27.873467302594868,35.731901381390806
NEH4,109.11174144026802,109.64018686096098,22.707172,29.697538,98.68921393295814,99.65198609255852
COH1,53.93030870812648,59.36086320234907,22.796286,29.712908,86.78470331665339,92.05186284725282
INH1,43.56038606231726,49.67350741468399,22.624626,29.361599,25.008512530702536,30.928283318961018
MNH1,27.841574528251414,38.06091610828887,22.741489,29.571539,29.14807032687921,39.0418967681114
MOH1,26.295790271329622,33.96915076008775,22.583466,29.32213,24.093996516360512,31.29271973200239
IAH2,24.672229796080448,30.874363585179957,22.922764,29.787117,24.56767073851806,30.673531328437527
NYH2,30.24504350193912,36.878332208371,22.157,29.135906,27.089332209584526,36.045037546398106
WIH1,46.95011593963506,54.7694678189198,21.795258,28.545393,26.976916670102263,33.7832831403534
MIH1,29.819726457047338,36.93234827583375,21.77704,28.604263,28.48622849897905,36.70534193380502
GAH2,32.152815621464946,42.44806614668441,22.544645,29.382561,22.789731192619175,31.37247163625778
NCH1,24.344490780174652,30.76054451318564,22.606544,29.506903,20.942137152905733,26.048726932117827
GAH1,42.87625593240793,55.59729859948619,21.928192,28.440132,37.24696909129863,48.12929982000631
