,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,41.287551465763364,53.44636077499214,34.664528,44.447983,45.679632405863174,56.94067867600292
DEH1,33.74561469067656,41.092283542663964,35.941395,44.917412,28.852167405546382,36.089545948270924
IAH4,33.140212104848466,40.91317597385517,35.851654,44.906548,30.039792902949337,37.01656990804023
IAH1,40.96115936951189,48.267865092339086,34.645031,44.017258,40.89881195367551,48.097832549859845
TXH2,33.49856341231473,40.497574888402475,35.677246,45.13966,30.147965639099592,37.4395473836821
ILH1,30.3229036316245,37.271186597962384,35.070366,44.314156,30.754744626457843,38.899670734119
WIH2,37.299555576806874,43.98029177085791,36.25106,45.518719,34.07811456394731,40.15286166709755
ARH1,61.46484041935333,71.82908696306313,33.812302,42.909679,63.222364223391516,74.20799073353801
ARH2,24.04267178462282,29.148774301237587,35.629761,45.227581,27.611943318684897,33.64178608210742
NEH4,109.11174144026802,109.64018686096098,33.811863,42.63979,116.28969180929249,117.62946896476682
COH1,53.93030870812648,59.36086320234907,32.777031,43.044331,59.537254405103674,64.81550393435194
INH1,43.56038606231726,49.67350741468399,35.668484,45.099152,38.194092645818536,44.34790875203553
MNH1,27.841574528251414,38.06091610828887,35.848717,44.785652,26.022286970477953,37.13967401470721
MOH1,26.295790271329622,33.96915076008775,36.182064,45.266335,24.76566497416436,32.24912435999123
IAH2,24.672229796080448,30.874363585179957,36.71587,46.057556,22.554138957988748,28.361195692904552
NYH2,30.24504350193912,36.878332208371,36.269382,45.527382,30.010585920225896,36.761956068750884
WIH1,46.95011593963506,54.7694678189198,34.606937,43.506512,44.58006062817184,52.23391521873748
MIH1,29.819726457047338,36.93234827583375,35.683456,44.93787,25.747830181121824,32.396452859984066
GAH2,32.152815621464946,42.44806614668441,35.064945,43.959377,29.15900781327752,38.46971439716807
NCH1,24.344490780174652,30.76054451318564,35.376263,44.826836,23.155503508945678,28.488743981733997
GAH1,42.87625593240793,55.59729859948619,35.02663,44.047321,40.00653867137675,50.8111315020656
