,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,37.836436719295975,44.18142741690912,15.814356,20.248169,48.60082472764052,52.839785763955334
DEH1,23.756227307102378,29.565682468988506,15.60266,19.931509,26.929723675331374,33.00852831386655
IAH4,20.622532744335867,25.63827978280397,15.772417,20.274345,34.64740237674198,39.791972349850774
IAH1,19.103535169122402,23.18255536564126,15.735497,20.131649,20.809743724149815,25.012704263927667
TXH2,15.95868053641825,20.204522068176676,16.063284,20.753178,18.501611280810927,23.617532269339907
ILH1,19.673115827131635,23.073539540122958,15.766368,20.403841,37.53017685679788,40.348791126887264
WIH2,44.57743803480545,49.61408349585165,15.744061,19.964418,61.957891227033315,65.80307544638832
ARH1,20.46236035075784,25.831850827181167,15.718891,20.276186,27.135484651077626,32.26825565395426
ARH2,42.80925273191357,45.53709953376846,16.237295,20.71867,19.38570992606027,23.191933285459278
NEH4,79.39375979984025,82.29247967155695,15.604864,20.166361,74.29780525996767,77.38764101448604
COH1,16.860533150762347,22.129379274879344,15.521464,20.094753,25.036906436854558,31.32439589531569
INH1,28.146906421038565,32.351973387665694,15.819043,20.723936,45.431463808001894,48.60292925324226
MNH1,20.354834362442414,26.046667840563135,15.732592,20.131102,25.222607796652277,31.23385667313763
MOH1,32.65411066524522,38.12326317756782,15.776206,20.414404,137.45742681962025,139.16925364861567
IAH2,17.166677914607995,21.04529521509685,15.177025,19.655266,18.204808461415517,22.285435830380415
NYH2,42.80933400946123,46.51299571372542,15.707579,20.256208,34.78298909066501,38.86172737052684
WIH1,32.41720193621522,37.17473166205968,15.728717,20.390837,19.105434829181903,24.825782951857125
MIH1,120.553680452767,120.73319512271884,15.884143,20.106157,135.3583193692294,135.51822444341184
GAH2,17.611853426293383,21.32931366580911,16.006395,20.781353,23.63594307869103,28.842773615678027
NCH1,18.640709914493677,23.668971307561222,15.655139,20.164558,31.43376833357901,37.01110833291941
GAH1,36.30290843012176,40.83118531116047,15.825104,20.323946,27.983607638612085,33.27430262676364
