,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,37.836436719295975,44.18142741690912,10.775724,14.509912,31.29734504996956,34.278345976212854
DEH1,23.756227307102378,29.565682468988506,10.624999,14.241945,25.394468843267205,29.60961077162828
IAH4,20.622532744335867,25.63827978280397,10.961087,14.50293,15.254266847719302,18.66449962897593
IAH1,19.103535169122402,23.18255536564126,11.400216,15.001253,31.171043695188036,33.24458003363034
TXH2,15.95868053641825,20.204522068176676,11.053642,14.778148,62.35571886402692,65.49628205948525
ILH1,19.673115827131635,23.073539540122958,10.870518,15.030697,45.575272218545734,47.21437185791743
WIH2,44.57743803480545,49.61408349585165,11.049682,14.632146,59.77426313825929,61.21603032944881
ARH1,20.46236035075784,25.831850827181167,10.716067,14.355164,22.484036148426146,27.01676453273633
ARH2,42.80925273191357,45.53709953376846,10.646967,14.240268,51.37206619504898,53.01869175344189
NEH4,79.39375979984025,82.29247967155695,10.556116,14.211608,67.03719895461509,69.64894259978729
COH1,16.860533150762347,22.129379274879344,10.816679,14.622474,21.778360277780443,25.641071713774462
INH1,28.146906421038565,32.351973387665694,11.002612,15.098744,14.732495070948746,17.198784194618163
MNH1,20.354834362442414,26.046667840563135,10.51925,14.076723,18.007863056689576,27.01297524584881
MOH1,32.65411066524522,38.12326317756782,10.997049,15.167068,131.53093696948346,132.18282506755557
IAH2,17.166677914607995,21.04529521509685,10.808505,14.495677,21.173528218770528,24.552929870579998
NYH2,42.80933400946123,46.51299571372542,10.638992,14.078485,61.50566845505707,63.3950347111625
WIH1,32.41720193621522,37.17473166205968,10.930003,14.509103,14.562101569864389,18.237477130748236
MIH1,120.553680452767,120.73319512271884,10.660265,14.141886,125.12687626751986,125.59368333247662
GAH2,17.611853426293383,21.32931366580911,10.865466,14.585242,14.983048360059216,18.528405816678177
NCH1,18.640709914493677,23.668971307561222,10.843361,14.572856,51.13967855201577,53.549367746194264
GAH1,36.30290843012176,40.83118531116047,10.674575,14.297103,28.14818520059391,31.81364455894029
