,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,37.836436719295975,44.18142741690912,26.41062,36.357189,36.02602852164925,42.44631237461885
DEH1,23.756227307102378,29.565682468988506,27.477135,37.251995,21.27538153830539,25.401373349979195
IAH4,20.622532744335867,25.63827978280397,28.162571,37.796497,14.500742548578852,18.46335158328548
IAH1,19.103535169122402,23.18255536564126,27.836554,37.958794,16.57833039526846,19.822213023027125
TXH2,15.95868053641825,20.204522068176676,27.031059,36.776169,18.576409273369368,23.695821222935106
ILH1,19.673115827131635,23.073539540122958,26.991486,37.008255,16.490329163122315,19.329249608152402
WIH2,44.57743803480545,49.61408349585165,26.606655,36.717392,42.01949303804102,44.342860472689864
ARH1,20.46236035075784,25.831850827181167,26.453199,36.082657,18.097837270692338,24.14443995315407
ARH2,42.80925273191357,45.53709953376846,25.856949,35.709866,37.983491734095985,41.3521536751944
NEH4,79.39375979984025,82.29247967155695,24.730017,34.455055,79.99451630691001,82.16278465153874
COH1,16.860533150762347,22.129379274879344,27.441189,37.161011,13.984246799928258,18.32699235129677
INH1,28.146906421038565,32.351973387665694,26.015078,35.514751,30.254527883818657,32.70133773333997
MNH1,20.354834362442414,26.046667840563135,25.948532,35.552326,19.043465903528354,26.560982327349087
MOH1,32.65411066524522,38.12326317756782,26.716972,36.263031,23.19028418174776,26.398621925452737
IAH2,17.166677914607995,21.04529521509685,28.082705,37.766041,11.810966148032799,14.989922357636734
NYH2,42.80933400946123,46.51299571372542,25.878988,35.442131,51.9909703750816,54.72556335088788
WIH1,32.41720193621522,37.17473166205968,26.691429,36.772324,32.262743627349465,35.00570913300447
MIH1,120.553680452767,120.73319512271884,22.167376,28.116995,119.0186337557706,119.53140255227262
GAH2,17.611853426293383,21.32931366580911,26.516727,36.546951,16.04855239770974,19.977252046862233
NCH1,18.640709914493677,23.668971307561222,26.825077,36.569202,13.479554201521964,17.1475436772242
GAH1,36.30290843012176,40.83118531116047,26.346642,36.36673,38.04076195541693,41.84315824435661
